comment_id,comment_text,is_toxic
8864,Very well articulated and respectful opinion.,0
4883,"This is just stupid, what are you even talking about?",1
5113,"Amazing work, really loved your thoughts!",0
7373,"Great post, very well written.",0
1671,This is so ignorant and offensive.,1
7640,"Great post, very well written.",0
7280,Thank you for this wonderful article!,0
1795,"You must be kidding, how can you be so dumb?",1
6088,"Nicely written post, very engaging.",0
7787,"Such an insightful comment, great job!",0
647,"This is so dumb, I can't believe it.",1
3810,"Just shut up already, enough with your nonsense.",1
7352,"Such an insightful comment, great job!",0
2569,How can someone be so ridiculous?,1
5212,"Excellent work, really appreciate it!",0
3959,"Shut up, no one wants to hear your opinion.",1
3634,"You're an idiot, no one likes you.",1
7422,"Fantastic article, very enlightening!",0
5994,Very informative and well researched.,0
5206,Keep up with the good content!,0
5696,I completely disagree with this!,0
8685,"Fantastic article, very enlightening!",0
1684,"You're an idiot, no one likes you.",1
8255,Keep up with the good content!,0
5870,Very well articulated and respectful opinion.,0
7377,"Fantastic job, very enlightening!",0
4139,"No one likes you, you're just a fool.",1
1918,"What a load of rubbish, you should be ashamed.",1
3997,"You're worthless, get a life.",1
6200,I don't agree with this statement.,0
175,"Just shut up already, enough with your nonsense.",1
3982,"You're such a loser, get a life.",1
9417,I completely disagree with this!,0
1345,How can someone be so ridiculous?,1
8619,"Fantastic article, very enlightening!",0
1196,This is such a pathetic attempt.,1
6136,Keep up the good work!,0
533,This is absolutely terrible.,1
5229,I don't agree with this statement.,0
2707,This is the most ignorant thing I've ever read.,1
9487,"Nicely written post, very engaging.",0
2929,"You must be kidding, how can you be so dumb?",1
8006,Really informative and thoughtful post.,0
5986,"Amazing work, really loved your thoughts!",0
9105,Very well articulated and respectful opinion.,0
3374,"No one likes you, you're just a fool.",1
5063,Very informative and well researched.,0
5608,"Fantastic article, very enlightening!",0
3174,"Just stop already, your point makes no sense.",1
9998,"Excellent work, really appreciate it!",0
5735,Well expressed and thoughtful opinion.,0
4683,How can someone be so ridiculous?,1
992,"This is so dumb, I can't believe it.",1
1518,"This is so dumb, I can't believe it.",1
6193,"What a wonderful post, thank you!",0
5749,"Fantastic job, very enlightening!",0
6517,"Wow, this really changed my perspective, thank you!",0
7366,Well expressed and thoughtful opinion.,0
3817,"You're such a loser, get a life.",1
3921,"Be quiet, no one cares what you think.",1
8531,"Fantastic article, very enlightening!",0
7769,"Wow, this really changed my perspective, thank you!",0
5669,"Nicely written post, very engaging.",0
413,"Just stop already, your point makes no sense.",1
1475,"This is so dumb, I can't believe it.",1
8582,Well expressed and thoughtful opinion.,0
1384,"This is just stupid, what are you even talking about?",1
1835,"You're an idiot, no one likes you.",1
2913,This is the most ignorant thing I've ever read.,1
3275,"You're such a loser, get a life.",1
3791,This is such a pathetic attempt.,1
9668,Thank you for this wonderful article!,0
9214,"Fantastic article, very enlightening!",0
1337,"You're an idiot, no one likes you.",1
2969,This is the most ignorant thing I've ever read.,1
9392,Very well articulated and respectful opinion.,0
558,How can someone be so ridiculous?,1
5782,Very well articulated and respectful opinion.,0
2751,How can someone be so ridiculous?,1
9872,Very well articulated and respectful opinion.,0
6203,Very well articulated and respectful opinion.,0
5093,I don't agree with this statement.,0
2425,How can someone be so ridiculous?,1
7849,I completely disagree with this!,0
340,"What a load of rubbish, you should be ashamed.",1
9382,"Your perspective really made me think, thank you!",0
7530,"Great post, very well written.",0
7854,"Amazing work, really loved your thoughts!",0
1085,"You must be kidding, how can you be so dumb?",1
9528,Keep up the good work!,0
4009,"Just stop already, your point makes no sense.",1
1705,How can someone be so ridiculous?,1
961,"This is so dumb, I can't believe it.",1
671,"Shut up, no one wants to hear your opinion.",1
3832,"What a load of rubbish, you should be ashamed.",1
3493,"This is just stupid, what are you even talking about?",1
5179,"Your perspective really made me think, thank you!",0
7745,Well expressed and thoughtful opinion.,0
8893,Keep up the good work!,0
5359,"Nicely written post, very engaging.",0
1208,This is absolutely terrible.,1
7119,"Fantastic article, very enlightening!",0
3990,"Just shut up already, enough with your nonsense.",1
9076,I completely disagree with this!,0
6172,Keep up the good work!,0
7908,I don't agree with this statement.,0
3580,"This is so dumb, I can't believe it.",1
1051,"What a load of rubbish, you should be ashamed.",1
713,"Just shut up already, enough with your nonsense.",1
7842,Keep up the good work!,0
1185,"This is so dumb, I can't believe it.",1
3400,"Be quiet, no one cares what you think.",1
5158,"Nicely written post, very engaging.",0
1397,"This is just stupid, what are you even talking about?",1
5108,"Great post, very well written.",0
4109,"You're such a loser, get a life.",1
8305,"Amazing work, really loved your thoughts!",0
7428,"Wow, this really changed my perspective, thank you!",0
5528,Well expressed and thoughtful opinion.,0
6239,"Amazing work, really loved your thoughts!",0
3793,"What a load of rubbish, you should be ashamed.",1
4159,This is such a pathetic attempt.,1
7903,"Excellent work, really appreciate it!",0
2538,"Be quiet, no one cares what you think.",1
2589,"Be quiet, no one cares what you think.",1
6226,Thank you for this wonderful article!,0
6870,Very well articulated and respectful opinion.,0
1305,"Just stop already, your point makes no sense.",1
8355,"Wow, this really changed my perspective, thank you!",0
4617,"You're an idiot, no one likes you.",1
1246,"This is so dumb, I can't believe it.",1
2766,"This is just stupid, what are you even talking about?",1
5381,Thank you for this wonderful article!,0
9070,"What a wonderful post, thank you!",0
2946,How can someone be so ridiculous?,1
2964,"What a load of rubbish, you should be ashamed.",1
9503,"Fantastic article, very enlightening!",0
8316,I completely disagree with this!,0
6372,"Wow, this really changed my perspective, thank you!",0
1846,"Shut up, no one wants to hear your opinion.",1
2346,"What a load of rubbish, you should be ashamed.",1
3334,This is so ignorant and offensive.,1
8877,Thank you for this wonderful article!,0
6580,I don't agree with this statement.,0
6126,"Such an insightful comment, great job!",0
657,This is absolutely terrible.,1
9665,"Wow, this really changed my perspective, thank you!",0
5369,"Such an insightful comment, great job!",0
2776,"Shut up, no one wants to hear your opinion.",1
7130,"Wow, this really changed my perspective, thank you!",0
6122,I completely disagree with this!,0
5216,I don't agree with this statement.,0
488,"This is just stupid, what are you even talking about?",1
5322,"Excellent work, really appreciate it!",0
3385,This is the most ignorant thing I've ever read.,1
6763,I don't agree with this statement.,0
7919,Really informative and thoughtful post.,0
2092,"What nonsense, you're clearly misinformed.",1
3116,This is absolutely terrible.,1
6283,"Amazing work, really loved your thoughts!",0
800,This is such a pathetic attempt.,1
7320,"Nicely written post, very engaging.",0
9531,"What a wonderful post, thank you!",0
5276,"Wow, this really changed my perspective, thank you!",0
5461,Keep up the good work!,0
2126,This is so ignorant and offensive.,1
5816,"Nicely written post, very engaging.",0
1541,"This is so dumb, I can't believe it.",1
1587,"You're such a loser, get a life.",1
4579,"This is so dumb, I can't believe it.",1
2404,"You're an idiot, no one likes you.",1
3794,"You're worthless, get a life.",1
402,"Be quiet, no one cares what you think.",1
5728,"Such an insightful comment, great job!",0
1302,"Be quiet, no one cares what you think.",1
8561,"Your perspective really made me think, thank you!",0
1591,"You're an idiot, no one likes you.",1
9779,I completely disagree with this!,0
7334,Really informative and thoughtful post.,0
2450,How can someone be so ridiculous?,1
9854,I completely disagree with this!,0
3166,"You're worthless, get a life.",1
247,"You must be kidding, how can you be so dumb?",1
7605,I don't agree with this statement.,0
1450,"You must be kidding, how can you be so dumb?",1
7158,"Such an insightful comment, great job!",0
272,"Just stop already, your point makes no sense.",1
6100,Well expressed and thoughtful opinion.,0
1297,"Just shut up already, enough with your nonsense.",1
9117,"Excellent work, really appreciate it!",0
1834,"This is just stupid, what are you even talking about?",1
3640,"You're an idiot, no one likes you.",1
638,"What a load of rubbish, you should be ashamed.",1
2263,This is absolutely terrible.,1
4820,"Be quiet, no one cares what you think.",1
5233,Keep up with the good content!,0
6260,"What a wonderful post, thank you!",0
9634,Really informative and thoughtful post.,0
8743,"Fantastic job, very enlightening!",0
8694,"Amazing work, really loved your thoughts!",0
2293,This is the most ignorant thing I've ever read.,1
1157,"You're an idiot, no one likes you.",1
7289,Thank you for this wonderful article!,0
7708,"What a wonderful post, thank you!",0
8189,"Fantastic article, very enlightening!",0
2968,This is such a pathetic attempt.,1
6947,"Such an insightful comment, great job!",0
8665,"Amazing work, really loved your thoughts!",0
4661,"Shut up, no one wants to hear your opinion.",1
7153,"Such a brilliant comment, well done!",0
9110,Keep up the good work!,0
5060,"Amazing work, really loved your thoughts!",0
3738,"No one likes you, you're just a fool.",1
4241,How can someone be so ridiculous?,1
7198,"What a wonderful post, thank you!",0
6754,"Amazing work, really loved your thoughts!",0
9273,Very well articulated and respectful opinion.,0
1442,"Just shut up already, enough with your nonsense.",1
1617,This is so ignorant and offensive.,1
6537,"Your perspective really made me think, thank you!",0
1491,This is absolutely terrible.,1
2821,This is the most ignorant thing I've ever read.,1
9609,"Nicely written post, very engaging.",0
3804,"This is just stupid, what are you even talking about?",1
8135,I don't agree with this statement.,0
9126,"Fantastic article, very enlightening!",0
5942,"Such an insightful comment, great job!",0
307,"Shut up, no one wants to hear your opinion.",1
8740,Really informative and thoughtful post.,0
9547,Well expressed and thoughtful opinion.,0
830,"This is just stupid, what are you even talking about?",1
5917,Keep up with the good content!,0
5563,I don't agree with this statement.,0
8295,"Amazing work, really loved your thoughts!",0
7124,"Wow, this really changed my perspective, thank you!",0
1268,"This is just stupid, what are you even talking about?",1
1351,This is such a pathetic attempt.,1
9086,Very well articulated and respectful opinion.,0
2295,"Shut up, no one wants to hear your opinion.",1
8982,Well expressed and thoughtful opinion.,0
5420,Keep up the good work!,0
3687,"You're an idiot, no one likes you.",1
3710,"You must be kidding, how can you be so dumb?",1
1554,This is the most ignorant thing I've ever read.,1
895,This is the most ignorant thing I've ever read.,1
1832,"Be quiet, no one cares what you think.",1
5945,"What a wonderful post, thank you!",0
5502,"What a wonderful post, thank you!",0
1637,"This is just stupid, what are you even talking about?",1
5707,"Excellent work, really appreciate it!",0
6492,I don't agree with this statement.,0
3899,How can someone be so ridiculous?,1
4394,"Shut up, no one wants to hear your opinion.",1
4903,This is the most ignorant thing I've ever read.,1
6264,"Such a brilliant comment, well done!",0
2963,"You're an idiot, no one likes you.",1
3412,"What nonsense, you're clearly misinformed.",1
7758,"What a wonderful post, thank you!",0
4367,This is absolutely terrible.,1
1964,"You must be kidding, how can you be so dumb?",1
3748,"Just stop already, your point makes no sense.",1
7837,"Great post, very well written.",0
7429,"Such an insightful comment, great job!",0
2469,"What a load of rubbish, you should be ashamed.",1
5266,"Nicely written post, very engaging.",0
653,How can someone be so ridiculous?,1
8761,"Great post, very well written.",0
2449,"What a load of rubbish, you should be ashamed.",1
9850,Very informative and well researched.,0
6331,Keep up the good work!,0
5638,"Such an insightful comment, great job!",0
6920,"Excellent work, really appreciate it!",0
2122,This is the most ignorant thing I've ever read.,1
5890,Really informative and thoughtful post.,0
2180,"No one likes you, you're just a fool.",1
7980,Really informative and thoughtful post.,0
1917,"Be quiet, no one cares what you think.",1
4093,How can someone be so ridiculous?,1
6078,"Such an insightful comment, great job!",0
1728,This is such a pathetic attempt.,1
449,"This is just stupid, what are you even talking about?",1
6639,Very informative and well researched.,0
9566,"Such a brilliant comment, well done!",0
7519,"Fantastic job, very enlightening!",0
6654,Really informative and thoughtful post.,0
4000,How can someone be so ridiculous?,1
8815,"Fantastic article, very enlightening!",0
6514,Very informative and well researched.,0
8433,"Fantastic article, very enlightening!",0
2066,"You must be kidding, how can you be so dumb?",1
8517,"Amazing work, really loved your thoughts!",0
4720,"You're an idiot, no one likes you.",1
4420,This is the most ignorant thing I've ever read.,1
5195,"Excellent work, really appreciate it!",0
2136,"You're an idiot, no one likes you.",1
6597,I completely disagree with this!,0
6418,"Such a brilliant comment, well done!",0
93,"This is so dumb, I can't believe it.",1
7549,Very well articulated and respectful opinion.,0
7000,Keep up with the good content!,0
3232,"You're worthless, get a life.",1
3376,"You're such a loser, get a life.",1
6702,Thank you for this wonderful article!,0
4094,This is the most ignorant thing I've ever read.,1
3904,This is the most ignorant thing I've ever read.,1
7660,"Great post, very well written.",0
6502,Very informative and well researched.,0
687,"Be quiet, no one cares what you think.",1
3869,"This is so dumb, I can't believe it.",1
8111,"Excellent work, really appreciate it!",0
6161,"Fantastic job, very enlightening!",0
9424,Keep up with the good content!,0
1909,"This is so dumb, I can't believe it.",1
3754,"What nonsense, you're clearly misinformed.",1
6771,"What a wonderful post, thank you!",0
6440,I completely disagree with this!,0
9677,Well expressed and thoughtful opinion.,0
6776,Very well articulated and respectful opinion.,0
5548,"Excellent work, really appreciate it!",0
2412,This is the most ignorant thing I've ever read.,1
1942,"Shut up, no one wants to hear your opinion.",1
753,This is such a pathetic attempt.,1
9740,Keep up the good work!,0
7463,"Excellent work, really appreciate it!",0
2397,How can someone be so ridiculous?,1
6408,I don't agree with this statement.,0
8455,"Such an insightful comment, great job!",0
9762,"Fantastic job, very enlightening!",0
6107,"Fantastic job, very enlightening!",0
8736,I completely disagree with this!,0
64,This is absolutely terrible.,1
6306,"Such an insightful comment, great job!",0
348,"You're an idiot, no one likes you.",1
1270,"Shut up, no one wants to hear your opinion.",1
996,This is such a pathetic attempt.,1
7768,Really informative and thoughtful post.,0
1338,This is so ignorant and offensive.,1
2009,"Be quiet, no one cares what you think.",1
8642,"Great post, very well written.",0
8284,"What a wonderful post, thank you!",0
17,"You're an idiot, no one likes you.",1
999,This is so ignorant and offensive.,1
9564,"Such a brilliant comment, well done!",0
9380,"Great post, very well written.",0
1200,This is the most ignorant thing I've ever read.,1
4443,How can someone be so ridiculous?,1
7457,"What a wonderful post, thank you!",0
3850,"Just shut up already, enough with your nonsense.",1
3215,"You're worthless, get a life.",1
463,"Just stop already, your point makes no sense.",1
7197,Well expressed and thoughtful opinion.,0
5268,Well expressed and thoughtful opinion.,0
6432,Thank you for this wonderful article!,0
5903,Keep up the good work!,0
7053,"Such a brilliant comment, well done!",0
3722,How can someone be so ridiculous?,1
1079,This is the most ignorant thing I've ever read.,1
3636,This is such a pathetic attempt.,1
263,"You must be kidding, how can you be so dumb?",1
4786,How can someone be so ridiculous?,1
34,This is absolutely terrible.,1
4855,"Just shut up already, enough with your nonsense.",1
6378,"Such an insightful comment, great job!",0
6162,Really informative and thoughtful post.,0
8011,"Wow, this really changed my perspective, thank you!",0
